5496 10
-0.062	0.197	-0.278	0.239	-0.022	0.56	-0.226	0.124	-1.207	-0.857	-0.33	0.61	-0.14	0.426	-0.586	0.72	-0.234	0.469	-0.071	0.437
-0.389	0.48	-1.172	0.305	-0.656	0.37	-0.8	0.221	-0.715	0.015	-0.114	1.007	0.499	0.661	-0.096	1.106	-0.339	0.554	0.284	0.864
-0.214	-0.031	-0.343	0.042	-0.111	0.299	0.036	0.161	-0.639	-0.108	-0.795	0.44	-0.436	0.24	-0.799	0.609	-0.895	0.324	-0.109	0.699
0.168	0.32	0.281	0.37	0.188	0.527	0.182	0.29	-0.338	0.055	-0.539	0.866	-0.05	-0.0060	-0.542	0.481	-0.578	0.309	0.143	0.952
-0.031	0.074	0.022	0.327	0.078	0.566	-1.9E-5	0.229	-1.195	-0.606	-0.224	0.755	-0.366	0.433	-0.553	0.873	-0.578	0.236	-0.423	0.682
-0.122	0.238	0.356	0.793	0.388	0.49	0.249	0.555	-0.316	-0.223	-0.558	0.685	0.385	0.659	0.118	0.696	0.18	0.554	0.107	0.544
-0.42	-0.205	-0.749	-0.202	-0.453	0.15	-0.32	-0.081	-0.472	-0.124	-0.42	0.293	-0.34	-0.071	-0.411	0.476	-0.284	0.154	0.036	0.531
-0.24	0.084	-0.183	0.456	-0.309	0.477	-0.214	0.448	-1.291	-0.96	0.858	1.636	1.678	2.244	1.759	2.817	2.021	2.24	1.072	2.061
0.106	0.525	-0.075	0.835	0.079	0.973	0.371	0.94	-0.392	0.445	-0.373	0.26	0.029	1.025	-0.222	0.454	-0.18	1.359	-0.065	1.001
-0.886	-0.747	-2.274	-0.62	-2.067	0.013	-2.085	-0.59	-1.266	-0.345	-0.228	1.034	0.379	1.64	0.139	1.863	0.321	0.978	0.368	1.214
-1.7	-1.33	-1.754	-1.288	-1.495	-1.128	-1.464	-1.2	1.567	1.985	-0.494	0.043	-0.239	0.456	-0.477	0.267	-0.773	0.024	1.717	2.065
-0.524	-0.413	-0.885	-0.037	-0.359	0.502	-0.616	0.087	-0.968	-0.316	-0.66	0.855	-0.046	1.022	-0.09	1.091	-0.388	0.51	-0.112	0.678
-0.282	-0.025	-0.349	0.482	0.019	0.575	-0.208	0.299	-0.917	-0.362	0.652	1.53	1.084	1.69	0.734	1.989	0.76	1.213	0.699	1.14
0.011	0.514	0.482	0.861	0.309	0.992	-0.133	0.503	-1.156	-0.663	1.053	1.846	1.01	1.74	0.798	2.021	0.855	1.616	0.501	0.706
-0.373	-0.064	-0.367	0.338	-0.0030	0.51	-0.156	0.419	-1.358	-0.381	1.148	1.969	1.643	2.456	1.37	2.507	1.353	1.92	1.179	1.586
-0.07	0.026	-0.18	0.755	0.171	0.59	0.232	0.501	-1.157	-0.443	0.246	0.997	0.957	1.133	0.776	1.274	0.329	1.122	0.478	0.938
-0.51	0.117	-1.313	0.61	-0.451	0.175	-0.61	0.478	-0.195	0.482	-0.163	0.36	0.346	0.747	-0.331	0.804	-0.027	1.164	0.399	1.718
-0.452	0.095	-0.292	0.416	-0.291	0.165	-0.448	0.635	-0.919	-0.357	-0.314	0.919	0.282	1.025	-0.156	1.08	-0.328	1.019	-1.225	0.829
-0.329	-0.059	0.161	0.505	0.257	0.364	-0.026	0.32	-1.056	-0.435	-0.071	0.951	-0.398	0.541	-0.508	0.694	-0.026	0.608	0.147	0.367
-0.226	-0.075	-0.225	0.066	0.143	0.399	0.107	0.244	-0.1	0.05	-0.283	-0.212	0.048	0.185	0.103	0.258	0.099	0.653	-0.165	0.263
-0.533	-0.283	-0.258	-0.196	0.137	0.4	-0.249	0.0020	-0.156	-0.041	-0.396	-0.301	-0.345	-0.021	-0.326	-0.024	-0.275	0.149	-0.137	0.399
0.019	0.591	-0.487	-0.052	-1.201	-1.051	-0.53	-0.085	-0.181	0.298	0.229	0.91	-0.304	-0.25	-0.769	-0.374	-0.423	0.151	0.086	0.25
-0.073	0.127	0.107	0.247	0.357	0.48	1.32	1.468	-0.589	-0.444	0.042	0.72	0.732	1.091	1.483	1.595	0.223	1.286	-0.358	0.397
-0.167	0.074	-0.293	-0.096	-0.554	-0.045	-0.509	-0.289	0.101	0.162	0.0080	0.251	-0.378	-0.211	-0.73	-0.41	-0.806	-0.328	-0.591	0.134
-0.394	-0.211	-0.141	0.053	0.339	0.519	0.593	0.809	-0.493	-0.291	-0.741	-0.304	-0.185	0.0070	0.357	0.436	-0.08	0.083	-0.602	-0.249
-0.261	-0.116	-0.45	0.084	-0.134	0.193	-0.056	0.24	-0.126	-0.035	-0.492	-0.161	-0.0060	0.159	0.046	0.278	-0.025	0.298	-0.413	-0.194
-0.226	-0.093	-0.259	0.108	0.035	0.215	0.061	0.219	-0.185	-0.059	-0.329	0.096	0.133	0.395	0.188	0.732	0.012	0.521	0.14	0.619
-0.153	0.15	-0.251	0.11	-0.357	-0.056	0.036	0.481	-0.222	-0.07	-0.142	0.19	-0.139	0.105	0.034	0.154	0.094	0.485	-0.13	0.103
